phrase,ratio_balanced,ai_docs,human_docs,ai_per_1000,human_per_1000,regs_ratio_ge2,top_reg_share,register_skewed,gen2026_per_1000,humanv2_per_1000,generalises
aita for,48.5,103,0,18.21,0.0,3,1.0,True,0.0,0.0,False
the asshole,46.69,99,0,17.51,0.0,3,1.0,True,0.0,0.0,False
i the asshole,41.71,88,0,15.56,0.0,3,1.0,True,0.0,0.0,False
am i the asshole,36.74,77,0,13.62,0.0,3,1.0,True,0.0,0.0,False
wikipedia article,34.88,75,4,13.26,0.41,3,1.0,True,0.0,0.24,False
his contributions,30.58,37,0,6.54,0.0,4,0.95,True,0.0,0.0,False
i told her i,28.59,59,0,10.43,0.0,3,1.0,True,0.0,0.0,False
a wikipedia article,27.48,43,2,7.6,0.2,3,1.0,True,0.0,0.0,False
said i was,27.38,109,6,19.27,0.61,2,0.97,True,0.0,0.24,False
asshole for,26.33,54,0,9.55,0.0,3,1.0,True,0.0,0.0,False
the asshole for,25.43,52,0,9.2,0.0,3,1.0,True,0.0,0.0,False
revised version,25.23,40,1,7.07,0.1,3,0.97,True,0.5,0.24,False
a wikipedia,25.14,48,4,8.49,0.41,2,0.98,True,0.25,0.48,False
working days,24.89,209,9,36.96,0.91,5,0.7,False,78.93,0.48,True
a fortnight,24.76,110,2,19.45,0.2,5,0.57,False,38.1,0.0,True
matters more,24.57,130,3,22.99,0.3,5,0.7,False,49.8,0.72,True
his contributions to,24.4,28,0,4.95,0.0,3,1.0,True,0.0,0.0,False
texted me,24.07,49,0,8.66,0.0,3,1.0,True,0.0,0.0,False
said i was being,24.07,49,0,8.66,0.0,3,1.0,True,0.0,0.0,False
matters more than,23.87,113,2,19.98,0.2,5,0.7,False,43.58,0.48,True
revised version of,23.59,27,0,4.77,0.0,3,1.0,True,0.25,0.0,True
revised version of the,23.59,27,0,4.77,0.0,3,1.0,True,0.25,0.0,True
i the asshole for,23.16,47,0,8.31,0.0,3,1.0,True,0.0,0.0,False
the original text,22.08,55,0,9.73,0.0,6,0.27,False,0.0,0.0,False
original text for,22.08,55,0,9.73,0.0,6,0.27,False,0.0,0.0,False
original text,22.08,55,0,9.73,0.0,6,0.27,False,0.0,0.0,False
the original text for,22.08,55,0,9.73,0.0,6,0.27,False,0.0,0.0,False
a revised version of,21.99,25,0,4.42,0.0,3,1.0,True,0.25,0.0,True
twenty minutes,21.92,103,3,18.21,0.3,5,0.45,False,24.65,0.24,True
the boiler,21.89,87,1,15.38,0.1,4,0.55,False,30.38,0.24,True
asshole here,21.81,44,0,7.78,0.0,3,1.0,True,0.0,0.0,False
the asshole here,21.81,44,0,7.78,0.0,3,1.0,True,0.0,0.0,False
we'd rather,21.7,84,0,14.85,0.0,4,0.94,True,27.64,0.0,True
text for the task,21.62,54,0,9.55,0.0,6,0.28,False,0.0,0.0,False
